,Type,N,chem_class,Nucleophile_smiles,Solvent_smiles
1030,C-Nucleophiles,15.92,Azolium enolates,C/C(=C(/[O-])C1=[N+](c2c(C)cc(C)cc2C)CCN1c1c(C)cc(C)cc1C)c1ccccc1,C1CCOC1
1031,C-Nucleophiles,14.4,Azolium enolates,C/C(=C(/[O-])c1n(-c2ccccc2)c(-c2ccccc2)n[n+]1-c1ccccc1)c1ccccc1,C1CCOC1
1032,C-Nucleophiles,12.75,Breslow intermediates,O=[N+]([O-])c1ccc(/C=C2/N(c3ccccc3)N=C(c3ccccc3)N2c2ccccc2)cc1,C1CCOC1
1033,C-Nucleophiles,11.42,Breslow intermediates,Cc1cc(C)c(N2CCN(c3c(C)cc(C)cc3C)C2=Cc2ccc([N+](=O)[O-])cc2)c(C)c1,C1CCOC1
1034,C-Nucleophiles,13.91,Breslow intermediates,Cc1cc(C)c(N2CCN(c3c(C)cc(C)cc3C)C2=Cc2ccccc2)c(C)c1,C1CCOC1
1035,C-Nucleophiles,14.45,Breslow intermediates,Cc1cc(C)c(N2CCN(c3c(C)cc(C)cc3C)C2=Cc2ccc([N+](=O)[O-])cc2)c(C)c1,C1CCOC1
1036,C-Nucleophiles,17.12,Breslow intermediates,Cc1cc(C)c(N2C=CN(c3c(C)cc(C)cc3C)C2=Cc2ccccc2)c(C)c1,C1CCOC1
1037,C-Nucleophiles,16.61,Breslow intermediates,COC(=C1N(c2c(C)cc(C)cc2C)c2ccccc2N1c1c(C)cc(C)cc1C)c1ccccc1,C1CCOC1
1038,C-Nucleophiles,10.45,Breslow intermediates,CO/C(=C1\Sc2ccccc2N1c1c(C)cc(C)cc1C)c1ccccc1,C1CCOC1
1039,C-Nucleophiles,14.77,Breslow intermediates,CO/C(=C1\SC(C)=C(C)N1c1c(C)cc(C)cc1C)c1ccccc1,C1CCOC1
1040,C-Nucleophiles,14.07,Carbenes (NHCs),[c-]1n(-c2ccccc2)nc(-c2ccccc2)[n+]1-c1ccccc1,C1CCOC1
1041,C-Nucleophiles,21.72,Carbenes (NHCs),Cc1cc(C)c(-n2[c-][n+](-c3c(C)cc(C)cc3C)cc2)c(C)c1,C1CCOC1
1042,C-Nucleophiles,6.57,Enol Ethers,C[Si](C)(C)OC1=CCCC1,ClCCl
1043,C-Nucleophiles,10.3,"Enamines, NHOs, Enamides and Ynamides",C=C(c1ccccc1)N1CCOCC1,CC#N
1044,C-Nucleophiles,18.11,"Enamines, NHOs, Enamides and Ynamides",C=C1N(C)CCN1C,C1CCOC1
1045,C-Nucleophiles,18.68,"Enamines, NHOs, Enamides and Ynamides",C=C1N(C)CCCN1C,C1CCOC1
1046,C-Nucleophiles,17.8,"Enamines, NHOs, Enamides and Ynamides",C=C1N(c2c(C)cc(C)cc2C)C=CN1c1c(C)cc(C)cc1C,C1CCOC1
1047,C-Nucleophiles,19.84,"Enamines, NHOs, Enamides and Ynamides",C=C1N(C)c2ccccc2N1C,C1CCOC1
1048,C-Nucleophiles,6.98,Diazo Compounds and Hydrazones,C=NN(C)C,ClCCl
1049,C-Nucleophiles,4.84,Diazo Compounds and Hydrazones,[N-]=[N+]=C1C=CC=C1,ClCCl
1050,C-Nucleophiles,12.21,Ylides,CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1,CS(C)=O
1051,C-Nucleophiles,11.95,Ylides,CS(C)=CC(=O)c1ccc(Br)cc1,ClCCl
1052,C-Nucleophiles,23.66,Carbanions,[Li+].c1ccc2[cH-]ccc2c1,CS(C)=O
1053,C-Nucleophiles,23.74,Carbanions,[Na+].c1ccc2[cH-]ccc2c1,CS(C)=O
1054,C-Nucleophiles,24.16,Carbanions,[K+].c1ccc2[cH-]ccc2c1,CS(C)=O
1055,C-Nucleophiles,15.02,Carbanions,CC1(C)OC(=O)[C-](Cc2ccccc2)C(=O)O1,CS(C)=O
1056,C-Nucleophiles,15.13,Carbanions,COc1ccc(C[C-]2C(=O)OC(C)(C)OC2=O)cc1,CS(C)=O
1057,C-Nucleophiles,14.48,Carbanions,CN(C)c1ccc(C[C-]2C(=O)OC(C)(C)OC2=O)cc1,CS(C)=O
1058,C-Nucleophiles,13.23,Carbanions,N#Cc1ccc([CH-][N+](=O)[O-])cc1,O
1059,C-Nucleophiles,14.25,Carbanions,O=[N+]([O-])[CH-]c1cccc([N+](=O)[O-])c1,O
1060,C-Nucleophiles,13.58,Carbanions,O=[N+]([O-])[CH-]c1ccc([N+](=O)[O-])cc1,O
1061,C-Nucleophiles,13.09,Carbanions,Cc1ccc([CH-][N+](=O)[O-])cc1,O
1062,C-Nucleophiles,12.05,Carbanions,O=[N+]([O-])[CH-]c1ccccc1,O
1063,C-Nucleophiles,10.69,Carbanions,C[C-](C)[N+](=O)[O-],O
1064,C-Nucleophiles,12.06,Carbanions,[CH2-][N+](=O)[O-],O
1065,C-Nucleophiles,14.33,Carbanions,CC(=O)[C-](C)C(C)=O,O
1066,C-Nucleophiles,17.68,Carbanions,CCOC(=O)[C-](C)C(=O)OCC,O
1067,C-Nucleophiles,19.5,Carbanions,N#C[CH-]C#N,O
1068,C-Nucleophiles,15.99,Carbanions,CCOC(=O)[CH-]C(C)=O,O
1069,C-Nucleophiles,13.73,Carbanions,CC(=O)[CH-]C(C)=O,O
1070,C-Nucleophiles,11.77,Carbanions,CC1(C)CC(=O)[CH-]C(=O)C1,O
1071,C-Nucleophiles,12.06,Carbanions,CC1(C)OC(=O)[CH-]C(=O)O1,O
